facility_id,stroke_measure_name,stroke_score,compared_to_national
050075,Death rate for stroke patients,15,No Different Than the National Rate
050076,Death rate for stroke patients,Not Available,Number of Cases Too Small
050077,Death rate for stroke patients,17.5,Worse Than the National Rate
050078,Death rate for stroke patients,12.2,No Different Than the National Rate
050082,Death rate for stroke patients,13.2,No Different Than the National Rate
050084,Death rate for stroke patients,12.6,No Different Than the National Rate
050089,Death rate for stroke patients,Not Available,Number of Cases Too Small
050090,Death rate for stroke patients,15.9,No Different Than the National Rate
050091,Death rate for stroke patients,Not Available,Number of Cases Too Small
050093,Death rate for stroke patients,12.7,No Different Than the National Rate
050099,Death rate for stroke patients,14.1,No Different Than the National Rate
050100,Death rate for stroke patients,11.6,No Different Than the National Rate
050101,Death rate for stroke patients,12.2,No Different Than the National Rate
050102,Death rate for stroke patients,Not Available,Number of Cases Too Small
050103,Death rate for stroke patients,10.7,No Different Than the National Rate
050104,Death rate for stroke patients,12.9,No Different Than the National Rate
050107,Death rate for stroke patients,15.2,No Different Than the National Rate
050108,Death rate for stroke patients,11.8,No Different Than the National Rate
050110,Death rate for stroke patients,17.1,No Different Than the National Rate
050112,Death rate for stroke patients,10.8,No Different Than the National Rate
050113,Death rate for stroke patients,Not Available,Number of Cases Too Small
050115,Death rate for stroke patients,13.7,No Different Than the National Rate
050116,Death rate for stroke patients,11.8,No Different Than the National Rate
050118,Death rate for stroke patients,12.2,No Different Than the National Rate
050121,Death rate for stroke patients,15.2,No Different Than the National Rate
050122,Death rate for stroke patients,Not Available,Number of Cases Too Small
050124,Death rate for stroke patients,11.3,No Different Than the National Rate
050125,Death rate for stroke patients,11.5,No Different Than the National Rate
050126,Death rate for stroke patients,14.8,No Different Than the National Rate
050127,Death rate for stroke patients,11.3,No Different Than the National Rate
050128,Death rate for stroke patients,14.7,No Different Than the National Rate
050129,Death rate for stroke patients,12.1,No Different Than the National Rate
050131,Death rate for stroke patients,12.2,No Different Than the National Rate
050132,Death rate for stroke patients,10.5,No Different Than the National Rate
050133,Death rate for stroke patients,13.1,No Different Than the National Rate
