county_fips,county_name,state,stroke_mortality_rate,uninsured_rate,burden_index,population,state_norm,county_norm,hospitals_reporting,mean_stroke_score,mean_performance_weight,burden_scaled,supply_score,care_gap_index_raw,care_gap_index,SCAI,data_status,national_rank,category
01041,Crenshaw County,AL,114.9,1182.0,1358.1180000000002,13144.0,AL,CRENSHAW,0.0,,-1.0,7.214591238932168,0.0,7.214591238932168,0.5295677692090165,0.4704322307909835,VALID,1226.0,Moderate Access
01043,Cullman County,AL,87.8,9473.0,8317.294,89463.0,AL,CULLMAN,1.0,14.3,0.0,9.0262124647131,0.0,9.0262124647131,0.662544978785551,0.33745502121444904,VALID,2248.0,Lowest Access
01045,Dale County,AL,89.3,5097.0,4551.621,49516.0,AL,DALE,0.0,,-1.0,8.423458390051408,0.0,8.423458390051408,0.6183014284402812,0.38169857155971876,VALID,2051.0,Low Access
01047,Dallas County,AL,113.8,3445.0,3920.41,37536.0,AL,DALLAS,1.0,16.9,1.0,8.274206561987725,0.6931471805599453,6.038200251325743,0.44321793587923064,0.5567820641207694,VALID,454.0,Good Access
01049,DeKalb County,AL,103.5,10680.0,11053.8,71946.0,AL,DEKALB,0.0,,-1.0,9.310620001766521,0.0,9.310620001766521,0.6834211531876233,0.3165788468123767,VALID,2305.0,Lowest Access
01051,Elmore County,AL,111.5,6478.0,7222.97,88669.0,AL,ELMORE,0.0,,-1.0,8.885159942264279,0.0,8.885159942264279,0.6521913957230152,0.3478086042769848,VALID,2217.0,Low Access
01053,Escambia County,AL,107.6,3877.0,4171.651999999999,36695.0,AL,ESCAMBIA,0.0,,-1.0,8.336307083871871,0.0,8.336307083871871,0.6119043199598873,0.38809568004011274,VALID,2014.0,Low Access
01055,Etowah County,AL,107.5,12489.0,13425.675,103208.0,AL,ETOWAH,2.0,13.65,0.3333333333333333,9.504998678819609,0.5108256237659907,7.612019051413552,0.558739894573743,0.44126010542625704,VALID,1559.0,Moderate Access
01057,Fayette County,AL,110.2,1261.0,1389.622,16173.0,AL,FAYETTE,0.0,,-1.0,7.237506408048907,0.0,7.237506408048907,0.5312497958947023,0.46875020410529766,VALID,1245.0,Moderate Access
01059,Franklin County,AL,98.6,3723.0,3670.878,31978.0,AL,FRANKLIN,0.0,,-1.0,8.208458526787567,0.0,8.208458526787567,0.6025199386513008,0.3974800613486992,VALID,1958.0,Low Access
01061,Geneva County,AL,96.9,3380.0,3275.22,26726.0,AL,GENEVA,0.0,,-1.0,8.094445597785315,0.0,8.094445597785315,0.5941511246086019,0.40584887539139813,VALID,1893.0,Low Access
01063,Greene County,AL,99.1,1040.0,1030.64,7589.0,AL,GREENE,0.0,,-1.0,6.9389050479743535,0.0,6.9389050479743535,0.5093317618854929,0.4906682381145071,INSUFFICIENT DATA,,
01065,Hale County,AL,95.6,920.0,879.52,14749.0,AL,HALE,0.0,,-1.0,6.780512642045131,0.0,6.780512642045131,0.49770539106424005,0.50229460893576,VALID,888.0,Good Access
01067,Henry County,AL,84.9,1378.0,1169.922,17450.0,AL,HENRY,0.0,,-1.0,7.065546751643922,0.0,7.065546751643922,0.5186275573477801,0.4813724426522199,VALID,1121.0,Moderate Access
01069,Houston County,AL,89.7,12422.0,11142.534,107628.0,AL,HOUSTON,2.0,13.65,1.0,9.318614698361342,1.0986122886681096,5.327290428663141,0.3910355021933641,0.608964497806636,VALID,182.0,Highest Access
01071,Jackson County,AL,99.0,5475.0,5420.25,52839.0,AL,JACKSON,1.0,13.6,1.0,8.598081695149576,0.6931471805599453,6.274551966237033,0.46056670121729615,0.5394332987827039,VALID,568.0,Good Access
01073,Jefferson County,AL,115.8,60904.0,70526.832,669744.0,AL,JEFFERSON,6.0,13.9,0.09090909090909091,11.163762691037027,0.4353180712578455,9.269071231143199,0.6803713768325007,0.3196286231674993,VALID,2296.0,Lowest Access
01075,Lamar County,AL,115.5,1237.0,1428.735,13809.0,AL,LAMAR,0.0,,-1.0,7.2652443913957505,0.0,7.2652443913957505,0.5332858283568157,0.4667141716431843,VALID,1270.0,Moderate Access
01077,Lauderdale County,AL,83.6,9166.0,7662.776,95037.0,AL,LAUDERDALE,1.0,12.4,1.0,8.944260091666152,0.6931471805599453,6.527179751776361,0.4791101679775941,0.5208898320224059,VALID,723.0,Good Access
01079,Lawrence County,AL,89.7,3024.0,2712.528,33182.0,AL,LAWRENCE,0.0,,-1.0,7.9060049122267095,0.0,7.9060049122267095,0.5803191402071878,0.4196808597928122,VALID,1760.0,Low Access
01081,Lee County,AL,87.3,15278.0,13337.694,177663.0,AL,LEE,1.0,14.5,1.0,9.498424413627518,0.6931471805599453,6.931587730121421,0.5087946537440003,0.49120534625599965,VALID,1023.0,Moderate Access
01083,Limestone County,AL,93.1,8508.0,7920.947999999999,107577.0,AL,LIMESTONE,1.0,19.0,1.0,8.97739241416133,0.6931471805599453,6.5513584565885505,0.4808849411207569,0.519115058879243,VALID,739.0,Good Access
01085,Lowndes County,AL,117.0,839.0,981.63,10008.0,AL,LOWNDES,0.0,,-1.0,6.890232650512118,0.0,6.890232650512118,0.5057590947595941,0.49424090524040587,VALID,979.0,Good Access
01087,Macon County,AL,105.8,1702.0,1800.716,18951.0,AL,MACON,0.0,,-1.0,7.496494823083971,0.0,7.496494823083971,0.5502601476469934,0.4497398523530066,VALID,1471.0,Moderate Access
01089,Madison County,AL,97.1,30254.0,29376.634,397135.0,AL,MADISON,2.0,13.100000000000001,0.3333333333333333,10.287988915511624,0.5108256237659907,8.23907191066872,0.6047670321972799,0.3952329678027201,VALID,1973.0,Low Access
01091,Marengo County,AL,100.6,1624.0,1633.744,19027.0,AL,MARENGO,0.0,,-1.0,7.399241496148673,0.0,7.399241496148673,0.5431215273582432,0.45687847264175685,VALID,1378.0,Moderate Access
01093,Marion County,AL,110.7,2903.0,3213.6210000000005,29190.0,AL,MARION,0.0,,-1.0,8.075464744808285,0.0,8.075464744808285,0.5927578858739542,0.40724211412604583,VALID,1884.0,Low Access
